norad,nome,categoria_n2yo,categoria_coleta,no_recorte
8585,,Geostationary,,não
8591,,Parus,,não
8601,,Molniya,,não
8607,,Strela,,não
8608,,Strela,,não
8609,,Strela,,não
8610,,Strela,,não
8611,,Strela,,não
8612,,Strela,,não
8613,,Strela,,não
8614,,Strela,,não
8620,,Intelsat,,não
8645,,Tsiklon,,não
8688,,Military,,não
8697,,Geostationary,,não
8709,,Space & Earth Science,,não
8744,,Space & Earth Science,,não
8746,,Geostationary,,não
8747,,Geostationary,,não
8748,,Space & Earth Science,,não
8749,,Space & Earth Science,,não
8774,,Geostationary,,não
8799,,Space & Earth Science,,não
8808,,Geostationary,,não
8818,,Military,,não
8820,,Geodetic,,não
8835,,Military,,não
8836,,Military,,não
8838,,Geostationary,,não
8845,,Space & Earth Science,,não
8860,,Space & Earth Science,,não
8871,,Military,,não
8873,,Tsiklon,,não
8882,,Geostationary,,não
8884,,Military,,não
8889,,Strela,,não
8890,,Strela,,não
8891,,Strela,,não
8892,,Strela,,não
8893,,Strela,,não
8894,,Strela,,não
8895,,Strela,,não
8896,,Strela,,não
8916,,Geostationary,,não
8923,,Strela,,não
9008,,Military,,não
9009,,Geostationary,,não
9011,,Military,,não
9022,,Strela,,não
9025,,Geodetic,,não
9047,,Geostationary,,não
9057,,Amateur radio,,não
9057,,NOAA,,não
9061,,Tsiklon,,não
9415,,Space & Earth Science,,não
9416,,Raduga,,não
9443,,Strela,,não
9478,,Geostationary,,não
9481,,Space & Earth Science,,não
9486,,Military,,não
9494,,Military,,não
9495,,Military,,não
9503,,Geostationary,,não
9509,,Parus,,não
9588,,Strela,,não
9589,,Strela,,não
9590,,Strela,,não
9591,,Strela,,não
9592,,Strela,,não
9593,,Strela,,não
9594,,Strela,,não
9595,,Strela,,não
9610,,Tsikada,,não
9634,,Military,,não
9637,,Parus,,não
9661,,Space & Earth Science,,não
9737,,Tsiklon,,não
9785,,Geostationary,,não
9803,,Geostationary,,não
9841,,Engineering,,não
9846,,Parus,,não
9852,,Geostationary,,não
9862,,Geostationary,,não
9880,,Molniya,,não
9903,,Space & Earth Science,,não
9931,,Geostationary,,não
10000,,Military,,não
10001,,Military,,não
10010,,Military,,não
10016,,Geostationary,,não
10019,,Geodetic,,não
10024,,Intelsat,,não
10033,,Weather,,não
10061,,GOES,,não
10091,,Engineering,,não
10095,,Tselina,,não
10114,,Brightest,,não
10120,,Strela,,não
10137,,Tsikada,,não
10141,,Parus,,não
10143,,Geostationary,,não
10150,,Military,,não
10159,,Raduga,,não
10271,,Space & Earth Science,,não
10272,,Space & Earth Science,,não
10273,,Space & Earth Science,,não
10282,,Strela,,não
10286,,Strela,,não
10287,,Strela,,não
10288,,Strela,,não
10289,,Strela,,não
10290,,Strela,,não
10291,,Strela,,não
10292,,Strela,,não
10294,,Geostationary,,não
10321,,Space & Earth Science,,não
10322,,Space & Earth Science,,não
10323,,Space & Earth Science,,não
10352,,Parus,,não
10358,,Military,,não
10365,,Geostationary,,não
10455,,Molniya,,não
10457,,Navy Navigation Satellite System,,não
10459,,Tsiklon,,não
10489,,Geostationary,,não
10491,,Geodetic,,não
10502,,Military,,não
10508,,Geostationary,,não
10512,,Military,,não
10514,,Space & Earth Science,,não
10516,,Geostationary,,não
10520,,Strela,,não
10529,,Military,,não
10531,,Military,,não
10536,,Parus,,não
10539,,Tselina,,não
10544,,Military,,não
10557,,Intelsat,,não
10581,,Strela,,não
10584,,Strela,,não
10585,,Strela,,não
10586,,Strela,,não
10587,,Strela,,não
10588,,Strela,,não
10589,,Strela,,não
10590,,Strela,,não
10594,,Military,,não
10599,,Parus,,não
10637,,Space & Earth Science,,não
10664,,Space & Earth Science,,não
10669,,Geostationary,,não
10674,,Space & Earth Science,,não
10676,,Strela,,não
10684,,Global Positioning System (GPS) Constellation,,não
10688,,Military,,não
10692,,Parus,,não
10702,,Earth resources,,não
10703,,Amateur radio,,não
10731,,Tsiklon,,não
10734,,Military,,não
10744,,Parus,,não
10776,,Tsikada,,não
10778,,Intelsat,,não
10787,,Geostationary,,não
10792,,Geostationary,,não
10820,,Space & Earth Science,,não
10855,,Geostationary,,não
10893,,Global Positioning System (GPS) Constellation,,não
10917,,Parus,,não
10925,,Molniya,,não
10930,,Strela,,não
10931,,Strela,,não
10932,,Strela,,não
10933,,Strela,,não
10934,,Strela,,não
10935,,Strela,,não
10936,,Strela,,não
10937,,Strela,,não
10941,,Geostationary,,não
10953,,GOES,,não
10961,,Strela,,não
10967,,Brightest,,não
10967,,Earth resources,,não
10975,,Geostationary,,não
10981,,Geostationary,,não
10987,,Raduga,,não
10991,,Tsiklon,,não
11004,,Space & Earth Science,,não
11020,,Space & Earth Science,,não
11025,,Space & Earth Science,,não
11042,,Strela,,não
11044,,Strela,,não
11045,,Strela,,não
11046,,Strela,,não
11047,,Strela,,não
11048,,Strela,,não
11049,,Strela,,não
11050,,Strela,,não
11054,,Global Positioning System (GPS) Constellation,,não
11057,,Molniya,,não
11060,,NOAA,,não
11080,,Weather,,não
11084,,Weather,,não
11085,,Amateur radio,,não
11086,,Amateur radio,,não
11111,,Strela,,não
11115,,Geostationary,,não
11128,,Strela,,não
11129,,Strela,,não
11130,,Strela,,não
11131,,Strela,,não
11132,,Strela,,não
11133,,Strela,,não
11134,,Strela,,não
11135,,Strela,,não
11141,,Global Positioning System (GPS) Constellation,,não
11144,,Military,,não
11145,,Military,,não
11153,,Geostationary,,não
11158,,Gorizont,,não
11165,,Space & Earth Science,,não
11168,,Geodetic,,não
11238,,Parus,,não
11256,,Space & Earth Science,,não
11261,,Engineering,,não
11267,,Brightest,,não
11273,,Geostationary,,não
11288,,Space & Earth Science,,não
11296,,Strela,,não
11297,,Strela,,não
11298,,Strela,,não
11299,,Strela,,não
11300,,Strela,,não
11301,,Strela,,não
11302,,Strela,,não
11303,,Strela,,não
11306,,Military,,não
11308,,Parus,,não
11320,,Parus,,não
11326,,Tsikada,,não
11343,,Raduga,,não
11353,,Geostationary,,não
11378,,Parus,,não
11389,,Weather,,não
11397,,Geostationary,,não
11416,,Amateur radio,,não
11416,,NOAA,,não
11417,,Military,,não
11425,,Strela,,não
11440,,Gorizont,,não
11484,,Geostationary,,não
11510,,Strela,,não
11538,,Strela,,não
11539,,Strela,,não
11540,,Strela,,não
11541,,Strela,,não
11542,,Strela,,não
11543,,Strela,,não
11544,,Strela,,não
11545,,Strela,,não
11558,,Geostationary,,não
11561,,Geostationary,,não
11573,,Strela,,não
11574,,Brightest,,não
11585,,Parus,,não
11605,,Space & Earth Science,,não
11621,,Military,,não
11622,,Military,,não
11635,,Geostationary,,não
11648,,Gorizont,,não
11667,,Parus,,não
11669,,Geostationary,,não
11672,,Brightest,,não
11680,,Parus,,não
11690,,Global Positioning System (GPS) Constellation,,não
11691,,Strela,,não
11692,,Strela,,não
11693,,Strela,,não
11694,,Strela,,não
11695,,Strela,,não
11696,,Strela,,não
11697,,Strela,,não
11698,,Strela,,não
11708,,Raduga,,não
11715,,Engineering,,não
11720,,Military,,não
11731,,Military,,não
11732,,Military,,não
11735,,Tsikada,,não
11750,,Military,,não
11765,,Military,,não
11783,,Global Positioning System (GPS) Constellation,,não
11788,,Military,,não
11803,,Parus,,não
11841,,Gorizont,,não
11852,,Military,,não
11869,,Strela,,não
11871,,Military,,não
11875,,Strela,,não
11876,,Strela,,não
11877,,Strela,,não
11878,,Strela,,não
11879,,Strela,,não
11880,,Strela,,não
11881,,Strela,,não
11882,,Strela,,não
11890,,Geostationary,,não
11896,,Molniya,,não
11962,,Space & Earth Science,,não
11964,,GOES,,não
12003,,Raduga,,não
12032,,Military,,não
12046,,Geostationary,,não
12065,,Geostationary,,não
12078,,Military,,não
12087,,Parus,,não
12089,,Intelsat,,não
12091,,Tsikada,,não
12093,,Military,,não
12107,,Strela,,não
12108,,Strela,,não
12109,,Strela,,não
12110,,Strela,,não
12111,,Strela,,não
12112,,Strela,,não
12113,,Strela,,não
12114,,Strela,,não
12120,,Geostationary,,não
12138,,Space & Earth Science,,não
12139,,Brightest,,não
12149,,Military,,não
12295,,Engineering,,não
12297,,Parus,,não
12303,,Military,,não
12309,,Geostationary,,não
12309,,TV,,não
12319,,Military,,não
12320,,Strela,,não
12321,,Strela,,não
12322,,Strela,,não
12323,,Strela,,não
12324,,Strela,,não
12325,,Strela,,não
12326,,Strela,,não
12327,,Strela,,não
12339,,Military,,não
12351,,Raduga,,não
12376,,Military,,não
12388,,Space & Earth Science,,não
12409,,Military,,não
12418,,Military,,não
12442,,Strela,,não
12456,,Space & Earth Science,,não
12458,,Navy Navigation Satellite System,,não
12465,,Brightest,,não
12472,,GOES,,não
12474,,Intelsat,,não
12504,,Parus,,não
12544,,Geostationary,,não
12545,,Geostationary,,não
12546,,Experimental,,não
12553,,Amateur radio,,não
12553,,NOAA,,não
12564,,Geostationary,,não
12618,,Raduga,,não
12624,,Space & Earth Science,,não
12627,,Military,,não
12635,,Geostationary,,não
12636,,Strela,,não
12637,,Strela,,não
12638,,Strela,,não
12639,,Strela,,não
12640,,Strela,,não
12641,,Strela,,não
12642,,Strela,,não
12643,,Strela,,não
12645,,Space & Earth Science,,não
12677,,Geostationary,,não
12681,,Parus,,não
12783,,Military,,não
12791,,Strela,,não
12803,,Tsikada,,não
12818,,Military,,não
12835,,Parus,,não
12848,,Space & Earth Science,,não
12855,,Geostationary,,não
12879,,Geodetic,,não
12897,,Raduga,,não
12904,,Brightest,,não
12927,,Space & Earth Science,,não
12930,,Military,,não
12933,,Military,,não
12938,,Space & Earth Science,,não
12967,,Geostationary,,não
12975,,Strela,,não
12976,,Strela,,não
12977,,Strela,,não
12978,,Strela,,não
12979,,Strela,,não
12980,,Strela,,não
12981,,Strela,,não
12982,,Strela,,não
12987,,Tselina,,não
12994,,Intelsat,,não
12997,,Amateur radio,,não
12998,,Amateur radio,,não
12999,,Amateur radio,,não
13000,,Amateur radio,,não
13001,,Amateur radio,,não
13002,,Amateur radio,,não
13010,,Geostationary,,não
13011,,Experimental,,não
13012,,Molniya,,não
13027,,Strela,,não
13033,,Parus,,não
13035,,Geostationary,,não
13056,,Geostationary,,não
13065,,Tsikada,,não
13068,,Brightest,,não
13069,,Geostationary,,não
13070,,Molniya,,não
13080,,Military,,não
13083,,Intelsat,,não
13086,,Military,,não
13092,,Gorizont,,não
13110,,Parus,,não
13113,,Space & Earth Science,,não
13124,,Military,,não
13127,,Parus,,não
13129,,Geostationary,,não
13148,,Strela,,não
13154,,Brightest,,não
13160,,Strela,,não
13161,,Strela,,não
13162,,Strela,,não
13163,,Strela,,não
13164,,Strela,,não
13165,,Strela,,não
13166,,Strela,,não
